date,t,cp_location,cp_location_norm,cp_score
2020-01-23,4248,4236.986142417011,0.5244694087137499,0.9315739015871635
2020-01-24,4249,4236.98787791461,0.5720058135899914,0.9314669263062556
2020-01-27,4250,4236.708868985578,0.6329110006867528,0.9077773805925149
2020-01-28,4251,4236.9675592866015,0.6682114625427857,0.953776497116996
2020-01-29,4252,4236.985762407984,0.7149636948578995,0.9724066931443404
2020-01-30,4253,4236.956680592389,0.7639675908386336,0.9830750220049881
2020-01-31,4254,4236.989776780661,0.8100106294923535,0.9867924662957149
2020-02-03,4255,4236.983603533498,0.8579236412619832,0.8995466293019496
2020-02-04,4256,4254.102836355382,0.09034112593417376,0.9217543760406328
2020-02-05,4257,4254.079048208413,0.13909294245652182,0.9149369890175154
2020-02-06,4258,4243.845761407166,0.6740113615635328,0.9437694068456678
2020-02-07,4259,4253.979221809351,0.2390846757452025,0.933416772171847
2020-02-10,4260,4253.948036371645,0.28818874420739166,0.9186552750741123
2020-02-11,4261,4253.953366104693,0.3355539950146392,0.8787721309918431
2020-02-12,4262,4253.950716579524,0.3832992104988599,0.8130590566344099
2020-02-13,4263,4253.9695170387795,0.4300229981533578,0.7546571525501343
2020-02-14,4264,4253.933989740319,0.4793338218895813,0.6958270519942421
2020-02-18,4265,4253.913095052734,0.5279478546317045,0.6202046660350629
2020-02-19,4266,4256.977793876778,0.4296288630105534,0.7103215152040738
2020-02-20,4267,4256.984821594949,0.4769132573833953,0.7770389596528402
2020-02-21,4268,4256.938219848888,0.5267514357672207,0.8398407923907508
2020-02-24,4269,4264.721968973881,0.20371576314850937,0.7079572714421936
2020-02-25,4270,4256.986996309871,0.6196668423871026,0.6671416746075816
2020-02-26,4271,4256.966059778332,0.6682828676984649,0.6741140020101303
2020-02-27,4272,4256.985374125154,0.7149821845164946,0.6957260710351989
2020-02-28,4273,4272.9999998034655,9.358787099786458e-09,0.9938108051663914
2020-03-02,4274,4272.033504128359,0.09364266055434287,0.9788773459504917
2020-03-03,4275,4272.318126386008,0.12770826733295898,0.9407688720546943
2020-03-04,4276,4272.0174205439,0.18964664076667673,0.9254583065201916
2020-03-05,4277,4272.078485937487,0.23435781250061286,0.9291899658465651
2020-03-06,4278,4272.171043608446,0.2775693519787681,0.9487055761769873
2020-03-09,4279,4272.1630260062975,0.32557019017630884,0.9764853889764614
2020-03-10,4280,4272.014775324526,0.38024879407016887,0.9796004522727069
2020-03-11,4281,4268.814635904863,0.5802554331017485,0.8790533924340429
2020-03-12,4282,4272.017447160197,0.4753596590382499,0.9211921616314922
2020-03-13,4283,4272.002273096353,0.5237012811260554,0.9155535415812619
2020-03-16,4284,4278.029982588265,0.2842865434159605,0.8595022774356769
2020-03-17,4285,4278.281476143586,0.31992970744830107,0.8043687616063762
2020-03-18,4286,4285.999997617133,1.1346985827133591e-07,0.949087976938815
2020-03-19,4287,4286.934861777521,0.0031018201180337372,0.9695792480990484
2020-03-20,4288,4287.999993238859,3.219590888918555e-07,0.9687372964658469
2020-03-23,4289,4272.038095228156,0.8077097510402036,0.9361481432735962
2020-03-24,4290,4280.819975866453,0.4371440063593712,0.9385902575835875
2020-03-25,4291,4283.339550264414,0.3647833207421735,0.9132441015458779
2020-03-26,4292,4283.007294054356,0.42822409264971656,0.8623708309607111
2020-03-27,4293,4278.327313134449,0.6986993745500686,0.7905568329777456
2020-03-30,4294,4278.010727075112,0.7613939488041762,0.725109316857259
2020-03-31,4295,4278.087619327559,0.8053514605924301,0.9921063761577038
2020-04-01,4296,4278.134256319209,0.8507496990852728,0.9666274831675987
2020-04-02,4297,4293.551038047128,0.16423628347010458,0.8502882752442815
2020-04-03,4298,4293.299904562374,0.22381406845839333,0.9169840923495882
2020-04-06,4299,4290.996904062605,0.38109980654263337,0.9157958085101087
2020-04-07,4300,4291.679529315861,0.3962128897208978,0.9657373989333521
2020-04-08,4301,4291.306759828791,0.46158286529567877,0.9841420985712737
2020-04-09,4302,4291.618251100421,0.49436899521805616,0.9916832576050059
2020-04-13,4303,4293.942822232978,0.4312941793820019,0.9992516305475937
2020-04-14,4304,4285.266158427747,0.8920876939168271,0.9996933652984699
2020-04-15,4305,4284.0,1.0,0.9998892007557434
2020-04-16,4306,4285.0,1.0,0.9996965843115108
2020-04-17,4307,4286.0000000152295,0.9999999992747862,0.9999461982089115
2020-04-20,4308,4293.000364130885,0.7142683747197658,0.9176946199802434
2020-04-21,4309,4293.006826608523,0.7615796853084421,0.8531498274107554
2020-04-22,4310,4300.010043991996,0.47571219085732863,0.863241298016282
2020-04-23,4311,4290.0,1.0,0.935892850436625
2020-04-24,4312,4299.9880612628995,0.5719970827190731,0.8560647819490532
2020-04-27,4313,4299.982807627698,0.6198663034429479,0.8663115314574614
2020-04-28,4314,4299.994418092086,0.6669324718054451,0.9154187821343092
2020-04-29,4315,4299.992044651962,0.7146645403827712,0.8437713375053955
2020-04-30,4316,4315.930101243575,0.003328512210698266,0.9475284137943908
2020-05-01,4317,4315.361537569479,0.07802202050100147,0.9718423351786625
2020-05-04,4318,4315.007460542189,0.14250187894339478,0.9705882551760595
2020-05-05,4319,4315.01312147221,0.1898513584662093,0.9627720706829763
2020-05-06,4320,4315.028256639977,0.23674968381060135,0.9771655715092976
2020-05-07,4321,4315.001811194168,0.28562803837294704,0.9883474372562975
2020-05-08,4322,4315.061958620543,0.33038292283128523,0.9839645691383212
2020-05-11,4323,4315.007353779457,0.3806022009782412,0.9769314447195353
2020-05-12,4324,4315.292275846425,0.41465353112263464,0.9634408351917102
2020-05-13,4325,4315.334828152586,0.46024627844828847,0.9372559663937134
2020-05-14,4326,4315.304380953293,0.5093151927003419,0.9299658339804806
2020-05-15,4327,4325.154945561842,0.08785973515036208,0.6943882949047604
