date,t,cp_location,cp_location_norm,cp_score
2008-09-12,1996,1939.9854427035148,0.44455997854353363,0.882144543793192
2008-09-15,1997,1932.6675555349154,0.5105749560720997,0.5548944214770537
2008-09-16,1998,1932.6526950242403,0.5186294045695214,0.5663804410311846
2008-09-17,1999,1928.9958716275016,0.5555883204166537,0.556328078302857
2008-09-18,2000,1939.9870862380005,0.4762929663650752,0.6428049670553906
2008-09-19,2001,1951.0355324740167,0.3965433930633596,0.8274719441116858
2008-09-22,2002,1996.508734148974,0.04358147500814207,0.9999992115907894
2008-09-23,2003,1948.4003726720387,0.4333303756187408,0.8967585381166244
2008-09-24,2004,1996.0924194184595,0.06275857604397234,0.9999967128417151
2008-09-25,2005,1996.9333837956588,0.06402076352651781,0.9999975207580426
2008-09-26,2006,1996.080094376611,0.0787294097094366,0.999995423897007
2008-09-29,2007,1951.042401579959,0.44410792396857934,0.9668278168806209
2008-09-30,2008,1996.0831085195578,0.09457850381303369,0.999999956779012
2008-10-01,2009,1960.0204013432233,0.3887269734664819,0.9965629505161199
2008-10-02,2010,1951.0412297739265,0.46792674782598026,0.9947356723322268
2008-10-03,2011,1951.0088904996708,0.4761199166692796,0.9928924601392296
2008-10-06,2012,1951.009880411843,0.4840485681599769,0.996670942255887
2008-10-07,2013,1951.0232928158675,0.49187862844549574,0.9962778286242546
2008-10-08,2014,1996.07070020136,0.14229603014793596,0.9999999987937281
2008-10-09,2015,1996.7577864295386,0.14477947278144004,0.9999999997685721
2008-10-10,2016,1996.5772608058978,0.15414872376271568,0.999999999442866
2008-10-13,2017,1951.064093398742,0.5233008460417302,0.9992676873005703
2008-10-14,2018,1960.0735837551742,0.4597334622605219,0.9996720025027646
2008-10-15,2019,1996.8680014354318,0.17565078225847794,0.9999999989636367
2008-10-16,2020,1996.9555799264947,0.18289222280559767,0.9999999977852698
2008-10-17,2021,1960.0734851828813,0.4835437683898308,0.9994699059518053
2008-10-20,2022,1951.0657382117608,0.5629703316526917,0.9994186704185285
2008-10-21,2023,2022.9545433446683,0.00036076710580707026,0.9999992842031209
2008-10-22,2024,1996.1238399514634,0.221239365464576,0.9999999987973623
2008-10-23,2025,1996.9428371870306,0.22267589534102705,0.9999999982991638
2008-10-24,2026,1996.791386608684,0.2318143919945716,0.9999999983398488
2008-10-27,2027,1996.2986899963003,0.24366119050555354,0.9999999964446125
2008-10-28,2028,1996.7872044820167,0.24772059934907378,0.9999999941817271
2008-10-29,2029,1996.9060613825066,0.2547137985515353,0.9999999882436892
2008-10-30,2030,1996.8966521360917,0.26272498304689135,0.9999999774186532
2008-10-31,2031,1996.9109810098519,0.2705477697630804,0.9999999584869693
2008-11-03,2032,1996.481261339983,0.28189475126997704,0.9999999629448559
2008-11-04,2033,1996.1455460969771,0.29249566589700704,0.9999999731284784
2008-11-05,2034,1959.2269191404944,0.593437149678616,0.9951923784585954
2008-11-06,2035,1996.0822206042235,0.3088712650458453,0.9999999002468438
2008-11-07,2036,1996.921844544971,0.3101440909129285,0.9999998343488246
2008-11-10,2037,1996.475503787587,0.32162298581280113,0.9999997003360596
2008-11-11,2038,1996.0416836958914,0.3330025103500684,0.999999694802448
2008-11-12,2039,1996.7207888358514,0.33554929495356023,0.999999517474606
2008-11-13,2040,1996.8029930835526,0.3428333882257733,0.9999991293231839
