date,t,cp_location,cp_location_norm,cp_score
2001-10-08,126,63.0,0.5,nan
2001-10-09,127,70.28444150383339,0.4501234801283064,0.7709728218281399
2001-10-10,128,70.44455883380232,0.4567892156047435,0.8053311569569889
2001-10-11,129,70.4749847503829,0.4644842480128341,0.8136846318433477
2001-10-12,130,70.41680524519735,0.47288249805398924,0.7960054120172302
2001-10-15,131,76.0549102962394,0.43607214050603654,0.9999585406995113
2001-10-16,132,130.89979537869533,0.008731782708767219,1.0
2001-10-17,133,132.99991037642144,7.112982425424557e-07,1.0
2001-10-18,134,133.99998546936374,1.1532251003173437e-07,1.0
2001-10-19,135,131.61379456672387,0.026874646295842314,1.0
2001-10-22,136,128.85718008666709,0.056689046931213606,1.0
2001-10-23,137,126.62349297877063,0.08235323032721724,1.0
2001-10-24,138,125.42925261645782,0.09976783637731892,1.0
2001-10-25,139,122.296258337175,0.13256937827638884,1.0
2001-10-26,140,123.95696578058644,0.1273256684080441,1.0
2001-10-29,141,123.4845774157911,0.13901129035086435,1.0
2001-10-30,142,123.22925969596898,0.1489741293970716,1.0
2001-10-31,143,122.8722999508228,0.15974365118394598,1.0
2001-11-01,144,122.6983521523351,0.16906069720368966,1.0
2001-11-02,145,122.38153380378809,0.17951163647787233,1.0
2001-11-05,146,122.160710444984,0.1892007107540952,1.0
2001-11-06,147,121.92046688498624,0.1990439136112203,1.0
2001-11-07,148,121.7660469006265,0.20820597697915472,1.0
2001-11-08,149,121.57913465531536,0.2176259154340051,1.0
2001-11-09,150,121.49079905632104,0.22626349955300765,1.0
2001-11-12,151,121.34230367677472,0.23537854224781968,1.0
2001-11-13,152,122.02552933795036,0.23789262430198127,1.0
2001-11-14,153,121.13004207025126,0.2529361740456249,1.0
2001-11-15,154,120.97390256468805,0.2621118844072377,1.0
2001-11-16,155,120.8597095570509,0.27095468605515155,1.0
2001-11-19,156,120.71529783697008,0.28003731875420573,1.0
2001-11-20,157,120.99328545033333,0.2857675757910053,1.0
2001-11-21,158,121.0925724021721,0.2929160920462532,1.0
2001-11-27,159,121.02560346454365,0.3013840994877488,1.0
2001-11-28,160,122.0178376901885,0.3014457326175516,1.0
