date,t,cp_location,cp_location_norm,cp_score
2007-03-12,1626,1542.882104461547,0.6596658376067699,0.8425478043526944
2007-03-13,1627,1553.2247738914841,0.5855176675279038,0.8297553566059539
2007-03-14,1628,1559.9868625251581,0.5397868053558879,0.7078632014664779
2007-03-15,1629,1553.038541494049,0.6028687183011983,0.8477801535279681
2007-03-16,1630,1569.8609652161322,0.4772939268560939,0.7722766904378218
2007-03-19,1631,1578.6228293059282,0.41569183090533146,0.7394753242934284
2007-03-20,1632,1578.5981085915903,0.42382453498737865,0.7638512369789945
2007-03-21,1633,1559.9858104588293,0.5794776947711962,0.7290409344268525
2007-03-22,1634,1552.9771856817524,0.6430382088749809,0.8812135448693059
2007-03-23,1635,1553.0467299879215,0.650422777873639,0.8410501150914999
2007-03-26,1636,1542.844564784801,0.7393288509142784,0.8308137905045289
2007-03-27,1637,1560.5603621635962,0.6066637923524111,0.7433211800863955
2007-03-28,1638,1569.8171738663052,0.5411335407436094,0.7877088268883691
2007-03-29,1639,1593.7477232325675,0.35914505370978156,0.8966096802006511
2007-03-30,1640,1593.8158084379236,0.3665412028736224,0.9000238066587068
2007-04-02,1641,1592.353658734064,0.38608207353917395,0.8972677207970727
2007-04-03,1642,1569.6561147873724,0.5741578191478379,0.8499882939718061
2007-04-04,1643,1542.590883951483,0.7968977464168019,0.9434170739515506
2007-04-05,1644,1578.2693834507922,0.5216715599143472,0.8364987371969663
2007-04-09,1645,1578.4245209750686,0.5283768176581856,0.7578868221581052
2007-04-10,1646,1578.5482196095013,0.5353315904007833,0.7348956644927278
2007-04-11,1647,1593.6339059053826,0.42354042932236063,0.895945628095931
2007-04-12,1648,1593.851494158637,0.4297500463600236,0.883343600763519
2007-04-13,1649,1578.5097307654173,0.5594465812268467,0.7526375251361762
2007-04-16,1650,1592.9879840151232,0.45247631734029226,0.8848624938167808
2007-04-17,1651,1593.6216040893717,0.45538409452879636,0.8862332593427911
2007-04-18,1652,1593.9019963053793,0.46109526741762485,0.8848269173655042
2007-04-19,1653,1592.8596323900374,0.477304504840973,0.8896936507130109
2007-04-20,1654,1578.4291244203282,0.599768853806919,0.8234013202743559
2007-04-23,1655,1591.2179354870098,0.5062068612142083,0.903251769336499
2007-04-24,1656,1590.7709368511064,0.5176909773721714,0.9096733909155017
2007-04-25,1657,1569.5006933840546,0.6944389413963924,0.887367302065944
2007-04-26,1658,1589.9236203203548,0.540288727616232,0.9196815832340907
2007-04-27,1659,1569.4132828956865,0.7110056913040753,0.899275932586326
2007-04-30,1660,1590.7475284538561,0.5496227900487607,0.9132563229010273
2007-05-01,1661,1590.0137269529275,0.5633831194212101,0.9154735320337744
2007-05-02,1662,1589.037096011218,0.5790706665776353,0.9260645351818771
2007-05-03,1663,1590.1417738297744,0.578239890239886,0.915958039870953
2007-05-04,1664,1590.0090898728424,0.5872294454536315,0.910515699176699
2007-05-07,1665,1577.9309851333794,0.6910239275128618,0.8450313113866454
2007-05-08,1666,1596.5324513821868,0.5513297509350257,0.8052157943304696
2007-05-09,1667,1595.455606775174,0.5678126446414768,0.8157608705724095
2007-05-10,1668,1595.4529932144956,0.5757698951230511,0.8065083463228463
2007-05-11,1669,1594.5561774679888,0.5908239883492948,0.8087032355357143
2007-05-14,1670,1593.626511014824,0.6061388014696506,0.816263360888549
2007-05-15,1671,1593.020720595675,0.618883169875596,0.8201503119058362
2007-05-16,1672,1612.1331164876283,0.47513399612993423,0.6572150070224014
2007-05-17,1673,1612.1528586341215,0.4829138203641154,0.6847059687327011
2007-05-18,1674,1612.2194552217964,0.4903217839539972,0.6738747292125926
2007-05-21,1675,1593.9474214056158,0.6432744332887632,0.8078347354826503
2007-05-22,1676,1604.9854845295258,0.563607265638684,0.6739373090519412
2007-05-23,1677,1594.1128618966784,0.6578344293914413,0.7992711097921807
2007-05-24,1678,1593.2858728844612,0.6723343421868155,0.8047532438574747
2007-05-25,1679,1592.4077200955317,0.6872403167021297,0.8143672993586315
2007-05-29,1680,1620.9915375265828,0.4683211307414067,0.755329412568275
2007-05-30,1681,1637.4032525062428,0.34600593249013667,0.9435495301504282
2007-05-31,1682,1634.9683484206778,0.3732670760263668,0.9427951461009227
2007-06-01,1683,1627.9723828778729,0.4367271200168821,0.9127172958888804
2007-06-04,1684,1637.4356661929955,0.3695582048174957,0.945409571685014
2007-06-05,1685,1620.9970515657235,0.5079599082085436,0.763818960769117
2007-06-06,1686,1620.9871697269405,0.5159748434369804,0.7360208089506324
2007-06-07,1687,1620.9954894597117,0.5238453217483195,0.688344676048444
2007-06-08,1688,1620.9904193217342,0.5318220688751255,0.7150572547099792
2007-06-11,1689,1627.9960400289067,0.4841584124689945,0.8697829413340429
2007-06-12,1690,1627.992564110021,0.4921225070633252,0.8218832301077075
2007-06-13,1691,1634.9846449045358,0.44456631028146193,0.7808462377683641
2007-06-14,1692,1627.9935590852806,0.5079876263072969,0.8131334532848637
2007-06-15,1693,1627.99645200164,0.5159011745901595,0.790456745294672
2007-06-18,1694,1627.9900892061885,0.5238881809032659,0.7204674867361615
2007-06-19,1695,1627.9941331723194,0.5317925938704812,0.6944787737018692
2007-06-20,1696,1627.9989293162587,0.5396910371725502,0.7125062995747709
2007-06-21,1697,1634.9813629608082,0.49221140507295114,0.730758630699611
2007-06-22,1698,1634.9805959015796,0.5001540007811144,0.7366412235468441
2007-06-25,1699,1634.9808883935636,0.5080881873526695,0.699790590040021
2007-06-26,1700,1638.3223213862927,0.48950538582307346,0.845524548879777
2007-06-27,1701,1638.4880909671838,0.4961262621652081,0.8330925341436004
