date,Settle
2024-04-15,85.41000366210938
2024-04-16,85.36000061035156
2024-04-17,82.69000244140625
2024-04-18,82.7300033569336
2024-04-19,83.13999938964844
2024-04-22,82.8499984741211
2024-04-23,83.36000061035156
2024-04-24,82.80999755859375
2024-04-25,83.56999969482422
2024-04-26,83.8499984741211
2024-04-29,82.62999725341797
2024-04-30,81.93000030517578
2024-05-01,79.0
2024-05-02,78.94999694824219
2024-05-03,78.11000061035156
2024-05-06,78.4800033569336
2024-05-07,78.37999725341797
2024-05-08,78.98999786376953
2024-05-09,79.26000213623047
2024-05-10,78.26000213623047
2024-05-13,79.12000274658203
2024-05-14,78.0199966430664
2024-05-15,78.62999725341797
2024-05-16,79.2300033569336
2024-05-17,80.05999755859375
2024-05-20,79.80000305175781
2024-05-21,79.26000213623047
2024-05-22,77.56999969482422
2024-05-23,76.87000274658203
2024-05-24,77.72000122070312
2024-05-28,79.83000183105469
2024-05-29,79.2300033569336
2024-05-30,77.91000366210938
2024-05-31,76.98999786376953
2024-06-03,74.22000122070312
2024-06-04,73.25
2024-06-05,74.06999969482422
2024-06-06,75.55000305175781
2024-06-07,75.52999877929688
2024-06-10,77.73999786376953
2024-06-11,77.9000015258789
2024-06-12,78.5
2024-06-13,78.62000274658203
2024-06-14,78.44999694824219
2024-06-17,80.33000183105469
2024-06-18,81.56999969482422
2024-06-20,82.16999816894531
2024-06-21,80.7300033569336
2024-06-24,81.62999725341797
2024-06-25,80.83000183105469
2024-06-26,80.9000015258789
2024-06-27,81.73999786376953
2024-06-28,81.54000091552734
2024-07-01,83.37999725341797
2024-07-02,82.80999755859375
2024-07-03,83.87999725341797
2024-07-05,83.16000366210938
2024-07-08,82.33000183105469
2024-07-09,81.41000366210938
2024-07-10,82.0999984741211
2024-07-11,82.62000274658203
2024-07-12,82.20999908447266
2024-07-15,81.91000366210938
2024-07-16,80.76000213623047
2024-07-17,82.8499984741211
2024-07-18,82.81999969482422
2024-07-19,80.12999725341797
2024-07-22,79.77999877929688
2024-07-23,76.95999908447266
2024-07-24,77.58999633789062
2024-07-25,78.27999877929688
2024-07-26,77.16000366210938
2024-07-29,75.80999755859375
2024-07-30,74.7300033569336
2024-07-31,77.91000366210938
2024-08-01,76.30999755859375
2024-08-02,73.5199966430664
2024-08-05,72.94000244140625
2024-08-06,73.19999694824219
2024-08-07,75.2300033569336
2024-08-08,76.19000244140625
2024-08-09,76.83999633789062
2024-08-12,80.05999755859375
2024-08-13,78.3499984741211
2024-08-14,76.9800033569336
2024-08-15,78.16000366210938
2024-08-16,76.6500015258789
2024-08-19,74.37000274658203
2024-08-20,74.04000091552734
2024-08-21,71.93000030517578
2024-08-22,73.01000213623047
2024-08-23,74.83000183105469
2024-08-26,77.41999816894531
2024-08-27,75.52999877929688
2024-08-28,74.5199966430664
2024-08-29,75.91000366210938
2024-08-30,73.55000305175781
2024-09-03,70.33999633789062
2024-09-04,69.19999694824219
2024-09-05,69.1500015258789
2024-09-06,67.66999816894531
2024-09-09,68.70999908447266
2024-09-10,65.75
2024-09-11,67.30999755859375
2024-09-12,68.97000122070312
2024-09-13,68.6500015258789
2024-09-16,70.08999633789062
2024-09-17,71.19000244140625
2024-09-18,70.91000366210938
2024-09-19,71.94999694824219
2024-09-20,71.91999816894531
2024-09-23,70.37000274658203
2024-09-24,71.55999755859375
2024-09-25,69.69000244140625
2024-09-26,67.66999816894531
2024-09-27,68.18000030517578
2024-09-30,68.16999816894531
2024-10-01,69.83000183105469
2024-10-02,70.0999984741211
2024-10-03,73.70999908447266
2024-10-04,74.37999725341797
2024-10-07,77.13999938964844
2024-10-08,73.56999969482422
2024-10-09,73.23999786376953
2024-10-10,75.8499984741211
2024-10-11,75.55999755859375
2024-10-14,73.83000183105469
2024-10-15,70.58000183105469
2024-10-16,70.38999938964844
2024-10-17,70.66999816894531
2024-10-18,69.22000122070312
2024-10-21,70.55999755859375
2024-10-22,72.08999633789062
2024-10-23,70.7699966430664
2024-10-24,70.19000244140625
2024-10-25,71.77999877929688
2024-10-28,67.37999725341797
2024-10-29,67.20999908447266
2024-10-30,68.61000061035156
2024-10-31,69.26000213623047
2024-11-01,69.48999786376953
2024-11-04,71.47000122070312
2024-11-05,71.98999786376953
2024-11-06,71.69000244140625
2024-11-07,72.36000061035156
2024-11-08,70.37999725341797
2024-11-11,68.04000091552734
2024-11-12,68.12000274658203
2024-11-13,68.43000030517578
2024-11-14,68.69999694824219
2024-11-15,67.0199966430664
2024-11-18,69.16000366210938
2024-11-19,69.38999938964844
2024-11-20,68.87000274658203
2024-11-21,70.0999984741211
2024-11-22,71.23999786376953
2024-11-25,68.94000244140625
2024-11-26,68.7699966430664
2024-11-27,68.72000122070312
2024-11-29,68.0
2024-12-02,68.0999984741211
2024-12-03,69.94000244140625
2024-12-04,68.54000091552734
2024-12-05,68.30000305175781
2024-12-06,67.19999694824219
2024-12-09,68.37000274658203
2024-12-10,68.58999633789062
2024-12-11,70.29000091552734
2024-12-12,70.0199966430664
2024-12-13,71.29000091552734
2024-12-16,70.70999908447266
2024-12-17,70.08000183105469
2024-12-18,70.58000183105469
2024-12-19,69.91000366210938
2024-12-20,69.45999908447266
2024-12-23,69.23999786376953
2024-12-24,70.0999984741211
2024-12-26,69.62000274658203
2024-12-27,70.5999984741211
2024-12-30,70.98999786376953
2024-12-31,71.72000122070312
2025-01-02,73.12999725341797
2025-01-03,73.95999908447266
2025-01-06,73.55999755859375
2025-01-07,74.25
2025-01-08,73.31999969482422
2025-01-09,73.91999816894531
