,identifier,time,returns,position,captured_returns,daily_vol,captured_returns_0_5_bps,captured_returns_1_0_bps,captured_returns_1_5_bps,captured_returns_2_0_bps,captured_returns_2_5_bps,captured_returns_3_0_bps
0,ZR,2007-01-02,0.00293592958218,0.3886866,0.0011411564793487054,0.009531410257315,0.0011411564793487054,0.0011411564793487054,0.0011411564793487054,0.0011411564793487054,0.0011411564793487054,0.0011411564793487054
1,ZR,2007-01-03,0.0019830936503465,0.4647919,0.0009217258536427068,0.0093795942647204,0.0009175805421785487,0.0009134352307143905,0.0009092899192502323,0.0009051446077860742,0.0009009992963219159,0.0008968539848577577
2,ZR,2007-01-04,0.0030183530671879,0.47208676,0.001424924512241955,0.0092255958648599,0.001424160129691756,0.0014233957471415572,0.0014226313645913581,0.0014218669820411593,0.0014211025994909604,0.0014203382169407615
3,ZR,2007-01-05,0.0142719791578112,0.47179556,0.006733456383788901,0.0090783950945736,0.0067330795337117435,0.006732702683634585,0.006732325833557427,0.006731948983480268,0.0067315721334031105,0.006731195283325952
4,ZR,2007-01-08,0.0039679253767531,0.4904219,0.0019459574674571816,0.0092033753419074,0.001945334712022255,0.0019447119565873282,0.0019440892011524016,0.0019434664457174751,0.0019428436902825484,0.0019422209348476218
5,ZR,2007-01-09,-0.002007664803907,0.48864967,-0.0009810447364901956,0.0090597086455818,-0.000981351550347552,-0.0009816583642049085,-0.0009819651780622648,-0.0009822719919196211,-0.0009825788057769777,-0.000982885619634334
6,ZR,2007-01-10,0.0081589657197285,0.49778092,0.004061377454667971,0.0089344353549015,0.00406053729009182,0.004059697125515668,0.004058856960939518,0.004058016796363366,0.004057176631787215,0.004056336467211063
7,ZR,2007-01-11,0.0071485477411516,0.52079266,0.0037229112153931133,0.0088543139393568,0.003721445143950916,0.0037199790725087186,0.0037185130010665216,0.0037170469296243245,0.003715580858182127,0.00371411478673993
8,ZR,2007-01-12,-0.0071842791735602,0.5527724,-0.003971271260891686,0.0087516529786472,-0.003973323654282927,-0.003975376047674168,-0.003977428441065409,-0.003979480834456649,-0.0039815332278478905,-0.003983585621239132
9,ZR,2007-01-16,-0.0041354857410858,0.5713027,-0.002362614219169337,0.0087459735944574,-0.0023636345994317333,-0.0023646549796941295,-0.0023656753599565258,-0.002366695740218922,-0.0023677161204813182,-0.0023687365007437145
10,ZR,2007-01-17,-0.0041932148564562,0.585406,-0.002454733158828736,0.0086587088095163,-0.002455813726367551,-0.002456894293906366,-0.0024579748614451816,-0.0024590554289839967,-0.0024601359965228118,-0.002461216564061627
11,ZR,2007-01-18,-0.0010632358308574,0.5838433,-0.0006207631063904411,0.00857003564851,-0.0006210074571434335,-0.0006212518078964259,-0.0006214961586494183,-0.0006217405094024107,-0.0006219848601554031,-0.0006222292109083954
12,ZR,2007-01-19,-0.0275612623925587,0.59395254,-0.016370081709488418,0.0084386370476822,-0.016371148877031935,-0.016372216044575453,-0.01637328321211897,-0.01637435037966249,-0.016375417547206006,-0.016376484714749524
13,ZR,2007-01-22,0.0162192279352544,0.54318404,0.008810025787616601,0.0095128015719207,0.008803749421823853,0.008797473056031105,0.008791196690238357,0.00878492032444561,0.008778643958652861,0.008772367592860113
14,ZR,2007-01-23,-0.0089357991400828,0.559926,-0.005003386031755131,0.0097816192135056,-0.005003453281600008,-0.005003520531444885,-0.005003587781289762,-0.005003655031134639,-0.005003722280979516,-0.005003789530824393
15,ZR,2007-01-24,0.001422470689941,0.5217236,0.000742136569142453,0.0097927462978008,0.0007402627491172086,0.0007383889290919641,0.0007365151090667196,0.0007346412890414752,0.0007327674690162307,0.0007308936489909863
16,ZR,2007-01-25,0.00288812982459,0.48716706,0.0014070017166274917,0.0096321081012024,0.001405726498606607,0.0014044512805857221,0.0014031760625648373,0.0014019008445439523,0.0014006256265230675,0.0013993504085021828
17,ZR,2007-01-26,-0.0019501805678293,0.4393739,-0.0008568584621260892,0.009481897665722,-0.0008588613070546791,-0.000860864151983269,-0.000862866996911859,-0.0008648698418404489,-0.0008668726867690388,-0.0008688755316976287
18,ZR,2007-01-29,-0.004960538550796,0.37384623,-0.0018544786503260757,0.0093375296128768,-0.0018574557032773813,-0.0018604327562286868,-0.0018634098091799927,-0.0018663868621312983,-0.0018693639150826038,-0.0018723409680339094
19,ZR,2007-01-30,-0.0045354172967009,0.3268831,-0.0014825512994091608,0.0092367716712545,-0.0014847470972840495,-0.0014869428951589385,-0.0014891386930338273,-0.0014913344909087162,-0.001493530288783605,-0.001495726086658494
20,ZR,2007-01-31,0.0025615303110288,0.28353813,0.0007262915217711292,0.0091263092325283,0.0007242499895935938,0.0007222084574160583,0.0007201669252385228,0.0007181253930609873,0.0007160838608834519,0.0007140423287059165
21,ZR,2007-02-01,0.0,0.24960862,0.0,0.0089840223004032,-1.551827685130014e-06,-3.103655370260028e-06,-4.655483055390042e-06,-6.207310740520056e-06,-7.759138425650069e-06,-9.310966110780085e-06
22,ZR,2007-02-02,-0.0010556937593871,0.2274934,-0.00024016336832137708,0.0088357534513891,-0.00024112561791753321,-0.00024208786751368932,-0.00024305011710984545,-0.00024401236670600158,-0.0002449746163021577,-0.0002459368658983138
23,ZR,2007-02-05,-0.0010740890473455,0.21005645,-0.00022561933650468204,0.0086930101783033,-0.0002263672734798016,-0.00022711521045492116,-0.00022786314743004072,-0.0002286110844051603,-0.00022935902138027987,-0.00023010695835539943
